feature0,feature1,feature2,feature3,feature4,output
0.8051,13.51,-1.055,134.53,2.032,0
0.6075,9.85,-1.809,118.56,2.721,0
0.4179,41.62,-1.160,130.92,1.551,0
0.9393,24.25,-1.584,349.28,2.477,1
0.0757,4.51,-1.762,170.23,3.722,0
0.2234,27.58,-1.576,259.73,1.842,1
0.0174,20.67,-1.580,1036527.64,0.021,1
0.8818,3.95,-1.102,171.50,0.323,0
0.0581,31.99,-1.643,1272.49,2.469,1
0.4034,23.30,-1.450,135.33,1.807,0
0.6117,32.75,-1.687,132.66,3.379,0
0.2697,8.06,-1.402,119.43,1.673,0
0.9608,7.89,-1.742,919.16,4.365,1
0.0814,10.52,-1.959,290.31,3.503,1
0.9659,22.00,-1.499,116.77,1.144,0
0.5130,0.37,-1.659,242.31,2.643,1
0.0497,4.63,-1.441,659.93,0.513,1
0.0107,33.87,-1.720,860.44,4.827,1
0.9870,13.48,-1.663,177.67,0.534,0
0.8967,34.70,-1.680,3288.76,4.351,1
0.3976,1.59,-1.618,115.26,3.722,0
0.6333,33.46,-1.400,196.70,2.041,1
0.5545,28.31,-1.800,142.51,2.758,0
0.9402,7.39,-1.279,211.40,3.397,1
0.0934,4.67,-1.767,137.77,4.721,0
0.6323,7.74,-1.397,103.59,3.652,0
0.8840,15.49,-1.704,395.06,3.723,1
0.0203,15.03,-1.521,115.37,4.100,0
0.9079,38.68,-1.193,203.12,0.357,1
0.3943,38.69,-1.584,217.79,2.432,1
0.6900,36.34,-1.679,924.12,4.182,1
0.0856,2.50,-1.337,113.74,4.151,0
0.1501,34.87,-1.661,201.31,1.054,1
0.3189,9.88,-1.360,630.24,4.590,1
0.6685,27.94,-1.276,218.01,4.162,1
0.1446,27.35,-1.016,127.99,1.977,0
0.4634,34.31,-1.380,578.44,0.946,1
0.1552,9.42,-1.183,248.68,1.189,1
0.8486,20.04,-1.490,100.75,0.287,0
0.0887,15.85,-1.617,469.74,0.842,1
0.6087,14.86,-1.908,205.47,1.710,1
0.3226,12.09,-1.585,1960.23,0.583,1
0.1793,16.98,-1.859,120.34,2.273,0
0.3312,4.89,-1.290,150.66,1.660,0
0.8635,16.32,-1.529,193.74,0.102,0
0.4730,5.83,-1.541,100.77,2.053,0
0.3095,13.10,-1.138,107.27,1.418,0
0.6864,24.72,-1.986,725.48,3.539,1
0.5205,2.41,-1.778,159.44,4.586,0
0.3968,26.15,-1.850,3802.72,4.839,1
0.8972,41.64,-1.070,196.96,4.424,1
0.8922,37.86,-1.881,495.76,3.347,1
0.1177,15.31,-1.184,248.82,3.268,1
0.7337,13.87,-1.954,159.87,3.432,0
0.9398,30.66,-1.396,117.56,0.208,0
0.1885,4.15,-1.291,157.22,2.924,0
0.4497,29.31,-1.885,139.22,3.539,0
0.8576,2.12,-1.382,1136.57,4.365,1
0.5575,17.67,-1.594,116.46,0.717,0
0.4008,39.74,-1.662,483.90,0.173,1
0.1162,30.06,-1.580,641.58,3.453,1
0.7292,17.95,-1.688,241.14,1.700,1
0.3786,17.05,-1.846,222.51,3.890,1
0.0555,22.21,-1.539,153.74,2.898,0
0.3492,34.95,-1.321,484.45,0.877,1
0.4744,33.70,-1.458,118.86,3.101,0
0.1807,34.78,-1.516,8251.75,3.049,1
0.1489,15.31,-1.237,120.16,2.166,0
0.1258,10.86,-1.889,165.02,3.893,0
0.9407,4.79,-1.594,305.44,0.655,1
0.7191,16.24,-1.929,5711.19,1.988,1
0.3314,26.98,-1.164,590.78,4.951,1
0.1222,13.47,-1.965,211.24,4.750,1
0.5054,37.61,-1.693,215.19,0.606,1
0.7422,1.83,-1.380,109.15,3.945,0
0.4306,37.04,-1.476,118.30,4.004,0
0.8944,23.32,-1.003,119.24,4.907,0
0.9681,36.58,-1.946,490.91,3.743,1
0.0344,16.94,-1.300,201.76,0.469,0
0.4343,33.00,-1.953,2737.91,1.197,1
0.7788,38.33,-1.612,173.49,0.367,0
0.4445,16.10,-1.515,192.90,3.521,0
0.9547,8.69,-1.082,106.55,2.889,0
0.2802,12.55,-1.641,277.32,4.106,1
0.4008,10.49,-1.369,138.74,4.522,0
0.7983,37.82,-1.869,158.91,1.865,0
0.3470,25.97,-1.462,108.09,4.759,0
0.0615,39.12,-1.920,4028.27,4.200,1
0.3495,7.27,-1.345,158.38,0.226,0
0.2964,6.39,-1.077,145.46,3.250,0
0.8853,31.95,-1.427,385.79,3.159,1
0.5434,8.55,-1.289,143.40,3.810,0
0.5334,8.92,-1.171,198.10,3.653,0
0.8536,0.83,-1.477,112.91,0.863,0
0.8872,10.85,-1.392,151.53,0.196,0
0.2101,28.44,-1.205,104.74,3.016,0
0.9640,10.61,-1.272,355.71,4.763,1
0.4456,7.16,-1.600,123.89,4.573,0
0.3805,16.43,-1.941,178.85,3.381,0
0.4119,17.05,-1.863,370.09,1.672,1
0.2347,5.13,-1.865,1210.83,2.903,1
0.0107,23.49,-1.608,222.25,3.995,1
0.7398,34.27,-1.624,103.00,4.819,0
0.5688,33.48,-1.796,111.54,1.068,0
0.7568,10.67,-1.564,106.49,1.116,0
0.4366,14.96,-1.887,130.13,1.140,0
0.5217,30.68,-1.279,131.66,4.317,0
0.7982,34.33,-1.679,148.55,4.148,0
0.8955,15.48,-1.864,141.94,4.263,0
0.0331,23.05,-1.747,130.23,1.013,0
0.2264,32.28,-1.005,108.58,0.576,0
0.7842,8.02,-1.630,135.37,2.762,0
0.5089,8.43,-1.414,133.28,3.911,0
0.2304,19.59,-1.514,663.39,0.075,1
0.5833,37.30,-1.315,122.64,2.597,0
0.1815,31.29,-1.733,272.54,0.180,1
0.0339,16.81,-1.890,433.67,2.288,1
0.1070,30.59,-1.542,368.86,1.637,1
0.6207,0.06,-1.086,156.16,0.339,0
0.3557,13.94,-1.399,151.58,1.981,0
0.1861,36.11,-1.349,216.49,3.270,1
0.7558,28.39,-1.939,147.03,4.113,0
0.2165,5.27,-1.768,122.36,4.411,0
0.8028,34.82,-1.504,158.66,3.453,0
0.5454,37.76,-1.271,435.36,0.529,1
0.4228,7.14,-1.003,115.86,2.548,0
0.0439,15.90,-1.863,262.59,4.323,1
0.1622,23.44,-1.093,349.31,1.869,1
0.7838,38.80,-1.020,155.55,1.434,0
0.8189,31.49,-1.523,116.19,1.009,0
0.8320,10.34,-1.927,110.53,3.373,0
0.3374,3.74,-1.701,145.93,2.350,0
0.0580,17.12,-1.207,202.66,0.280,0
0.9939,22.72,-1.286,289.91,3.197,1
0.6393,6.33,-1.344,102.32,0.779,0
0.8763,33.92,-1.116,173.85,1.521,0
0.1390,12.83,-1.396,105.74,0.708,0
0.6910,40.76,-1.213,266.04,1.158,1
0.4029,21.38,-1.847,133.97,3.072,0
0.4250,33.91,-1.629,640.23,3.868,1
0.1781,12.28,-1.800,128.04,4.946,0
0.1529,12.61,-1.649,198.11,2.035,0
0.3725,6.11,-1.128,167.59,2.073,0
0.7669,26.98,-1.509,142.29,1.499,0
0.6194,23.11,-1.999,284.62,1.637,1
0.9372,9.84,-1.382,919.81,0.636,1
0.1613,5.84,-1.079,169.66,1.020,0
0.6855,9.28,-1.605,365.93,4.013,1
0.6625,7.07,-1.347,116.08,4.571,0
0.4187,15.00,-1.984,118.67,0.983,0
0.0555,38.88,-1.004,110.89,3.512,0
0.6481,27.79,-1.610,201.19,1.306,1
0.8489,25.95,-1.583,170.12,1.593,0
0.3053,40.84,-1.071,113.98,3.124,0
0.9119,31.44,-1.790,753.68,2.011,1
0.0997,10.07,-1.620,208.24,3.450,1
0.8013,6.91,-1.199,588.14,1.337,1
0.6733,41.22,-1.021,648.57,2.233,1
0.4419,15.28,-1.239,10010.16,3.540,1
0.9739,27.21,-1.194,503.77,3.216,1
0.8815,22.66,-1.428,604.27,0.192,1
0.7406,33.87,-1.632,426.41,0.415,1
0.9335,9.81,-1.856,137.31,0.115,0
0.8837,28.28,-1.161,280.51,3.427,1
0.5464,27.73,-1.199,155.25,3.080,0
0.8423,41.95,-1.093,224.81,2.707,1
0.4914,13.32,-1.057,114.22,0.151,0
0.3368,2.07,-1.909,171.20,3.100,0
0.4819,29.53,-1.117,139.13,4.235,0
0.8413,4.39,-1.512,107.76,2.471,0
0.6932,40.54,-1.267,150.60,4.792,0
0.2357,28.49,-1.901,6962.12,3.230,1
0.1722,15.60,-1.480,179.65,3.123,0
0.5189,23.31,-1.069,111.29,2.755,0
0.1507,14.75,-1.499,102.74,4.644,0
0.8703,26.90,-1.565,135.19,0.157,0
0.4238,32.40,-1.484,167.55,1.076,0
0.3233,35.29,-1.682,114.95,4.222,0
0.8436,14.36,-1.942,188.15,2.881,0
0.5845,17.12,-1.664,262.77,1.711,1
0.5022,38.35,-1.152,242.75,0.982,1
0.2226,41.51,-1.834,114.61,1.927,0
0.2488,29.30,-1.648,240.82,0.085,1
0.3130,19.40,-1.584,6268.43,3.668,1
0.9666,20.39,-1.113,111.83,0.610,0
0.3098,17.71,-1.950,140.25,2.580,0
0.2278,0.65,-1.783,107.07,4.434,0
0.2185,3.31,-1.876,4332.82,1.638,1
0.9873,9.27,-1.156,451.66,4.738,1
0.2359,24.79,-1.439,709.56,0.902,1
0.3543,37.49,-1.910,114.27,3.081,0
0.7351,16.26,-1.672,104.87,1.195,0
0.9193,36.09,-1.548,275.52,2.295,1
0.5115,16.55,-1.162,263.17,3.366,1
0.8640,15.21,-1.565,2686.04,1.643,1
0.4240,39.32,-1.406,230.94,1.893,1
0.1709,19.14,-1.303,138.00,2.134,0
0.2077,12.30,-1.783,116.19,4.901,0
0.6928,32.91,-1.849,104.86,3.729,0
0.1826,38.28,-1.515,471.55,3.859,1
0.9531,21.78,-1.113,111.47,4.897,0
0.6145,7.69,-1.022,685.28,4.108,1
0.1315,0.47,-1.998,139.34,1.348,0
0.5116,34.86,-1.514,108.49,3.797,0
0.3264,11.69,-1.290,267.82,3.689,1
0.9675,23.83,-1.458,101.91,0.173,0
0.4703,35.58,-1.752,116.09,4.864,0
0.7434,0.53,-1.071,126.97,0.579,0
0.0716,7.82,-1.002,187.92,2.867,0
0.4430,11.89,-1.054,837.14,4.917,1
0.6324,21.01,-1.056,320.80,2.864,1
0.3599,16.12,-1.307,183.91,4.065,0
0.3007,25.65,-1.210,696.70,2.391,1
0.2395,2.91,-1.122,1387.66,1.379,1
0.2031,0.41,-1.923,182.57,2.964,0
0.7886,7.64,-1.748,1802.92,4.442,1
